                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6067,                 2.5854,                 1.6789,                0.04238,                0.52914,                0.03475,                0.01066,                 2.2397,                 45.477,                 2.1888,             0.00047272,             0.00047272,             0.00047272
                      1,                 1.6959,                 2.0289,                 1.7329,                 0.7124,                0.16528,                0.16934,                  0.056,                 2.7125,                 3.9182,                 3.5365,             0.00093966,             0.00093966,             0.00093966
                      2,                 1.6469,                 1.8893,                 1.6927,                0.10585,                0.29251,                  0.112,                0.03104,                 2.9558,                 33.688,                  2.707,              0.0013972,              0.0013972,              0.0013972
                      3,                 1.6096,                 1.7881,                 1.6676,                0.41613,                 0.4867,                0.48397,                0.16229,                 2.3794,                 1.6062,                 2.0548,              0.0013866,              0.0013866,              0.0013866
                      4,                 1.5795,                 1.7249,                 1.6632,                0.32948,                0.48535,                0.48488,                0.17878,                  2.163,                 1.9524,                 2.1017,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.5098,                 1.5828,                 1.6181,                0.42967,                0.72679,                0.61482,                0.22562,                 2.1995,                  1.311,                 1.8529,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.4964,                 1.5103,                 1.5915,                 0.5932,                0.57302,                0.62414,                0.28283,                 1.9394,                 1.1845,                 1.7641,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.4593,                 1.4376,                  1.583,                0.49846,                0.54491,                0.54498,                0.28456,                 1.7897,                 1.7584,                 1.7205,              0.0013441,              0.0013441,              0.0013441
                      8,                   1.49,                 1.4183,                 1.5863,                0.40713,                0.92657,                0.69504,                0.34581,                 1.7878,                 1.0657,                 1.6462,                0.00133,                0.00133,                0.00133
                      9,                 1.4475,                 1.3786,                 1.5678,                 0.7834,                0.73019,                0.79454,                0.44172,                 1.6856,                0.94224,                 1.5064,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.4579,                    1.3,                 1.5752,                0.72334,                0.64006,                0.72481,                  0.312,                 2.0905,                 1.0816,                 1.8519,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.4214,                  1.271,                 1.5493,                0.78397,                0.75053,                0.81687,                0.35254,                 2.0282,                 1.0579,                 1.9114,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.4133,                 1.2175,                  1.564,                0.85905,                0.74241,                0.87041,                0.38088,                 2.0407,                0.91364,                 1.8488,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.3952,                 1.1612,                 1.5432,                0.90255,                 0.6547,                0.84736,                0.42167,                 1.8267,                0.85619,                 1.7167,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.4042,                  1.133,                 1.5519,                0.86552,                0.75045,                0.85746,                0.40006,                 1.9433,                0.89692,                 1.7727,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.3666,                 1.0974,                 1.5291,                0.74855,                0.85642,                0.88287,                0.39631,                 2.0029,                0.87295,                 1.8448,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.3704,                 1.0642,                 1.5341,                0.88038,                0.71767,                0.87894,                0.45507,                 1.6747,                0.83703,                 1.6277,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.3634,                 1.0739,                 1.5221,                0.88753,                0.71164,                0.86596,                0.41016,                 1.8496,                0.85214,                 1.6817,              0.0012026,              0.0012026,              0.0012026
